ATPex_fap,ATPex_srb,ATPex_syn,CO2ex_gen,H2Sex_gen,H2ex_gen,H2pool_gen,NH3_syn,O2expool_gen,PHB_fap,SO4ex_gen,ac_pool,bm_fap_srb_syn,glycpool_gen,glyox_syn,hv_gen,polyglcex_gen
344970.0,0.0,0.0,0.0,0.0,0.0,0.0,-25026.0,20843.0,0.0,0.0,0.0,2000.0,-45996.0,0.0,-787027.0,0.0
2784947.0,0.0,0.0,-17240.0,0.0,0.0,0.0,-200208.0,0.0,0.0,0.0,-359348.0,16000.0,0.0,0.0,-6296216.0,0.0
24661453.0,0.0,0.0,0.0,1285344.0,0.0,0.0,-150156.0,0.0,0.0,-1285344.0,-185288.0,12000.0,-5296892.0,5206204.0,-74188407.0,0.0
0.0,0.0,0.0,0.0,25200569365.0,0.0,-192725430390.0,-163806644421.0,0.0,0.0,-25200569365.0,-180930830101.0,13090917000.0,-120134079065.0,0.0,-1439484975432.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-8640006.0,-2252340.0,-4513953.0,0.0,0.0,-4341480.0,180000.0,0.0,0.0,-3296720.0,67280.0
0.0,3.0,0.0,0.0,4.0,0.0,-16.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0
126099030.0,0.0,0.0,0.0,3940255.0,0.0,0.0,-300312.0,0.0,0.0,-3940255.0,0.0,24000.0,-16813204.0,16261252.0,-303391273.0,0.0
0.0,0.0,0.0,-45996.0,107112.0,0.0,-518285.0,-12513.0,0.0,0.0,-107112.0,0.0,1000.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-277224263700.0,0.0,0.0,0.0,-381794434056.0,22154900000.0,-207704102788.0,79980146644.0,-3440215899325.0,0.0
0.0,0.0,0.0,0.0,57840480.0,0.0,0.0,-6757020.0,160294821.0,0.0,-57840480.0,-8337960.0,540000.0,-90391422.0,0.0,-1409737546.0,28770154.0
0.0,0.0,0.0,0.0,168049623480.0,0.0,-813145110775.0,-21358477239.0,0.0,35123212542.0,-168049623480.0,0.0,1706903000.0,-109501780278.0,0.0,-54300140838.0,0.0
1389660.0,0.0,0.0,-43388.0,964008.0,0.0,-4108701.0,-112617.0,0.0,0.0,-964008.0,0.0,9000.0,-185288.0,0.0,-2223456.0,0.0
19494629.0,0.0,0.0,0.0,43100.0,68960.0,0.0,-1401456.0,0.0,0.0,-43100.0,-2575776.0,112000.0,0.0,0.0,-44073512.0,0.0
0.0,0.0,0.0,-8586308.0,0.0,0.0,-13158702.0,-2252340.0,0.0,0.0,0.0,-3472500.0,180000.0,3626014.0,0.0,-74333287.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,4.0,0.0,-8.0,0.0,-64.0,0.0
0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,-66.0,0.0,-1078.0,22.0
8.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,-16.0,0.0
0.0,0.0,0.0,0.0,3705860.0,0.0,0.0,-3003120.0,2250396.0,0.0,-3705860.0,-8893964.0,240000.0,-3056560.0,6431004.0,-91641807.0,0.0
0.0,0.0,0.0,0.0,42307895.0,0.0,0.0,-3303432.0,91920670.0,3035736.0,-42307895.0,0.0,264000.0,-12142944.0,0.0,-738677072.0,0.0
0.0,0.0,0.0,390864664.0,11820765.0,537513240.0,0.0,-900936.0,0.0,0.0,-11820765.0,0.0,72000.0,-197088188.0,0.0,-215005296.0,0.0
0.0,2462286.0,0.0,0.0,4924572.0,0.0,-6846344.0,-3003120.0,0.0,0.0,-4924572.0,-11686892.0,240000.0,0.0,6167372.0,-87885051.0,0.0
172485.0,0.0,0.0,0.0,0.0,0.0,0.0,-25026.0,55340.0,22998.0,0.0,0.0,2000.0,-91992.0,0.0,-787027.0,0.0
0.0,4349817.0,0.0,123819328.0,21223884.0,0.0,0.0,-1801872.0,0.0,32610688.0,-21223884.0,0.0,144000.0,-130442752.0,0.0,-35575296.0,0.0
0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,-73.0,62.0,0.0,-176.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2252340.0,-721012.0,0.0,0.0,-2779320.0,180000.0,-3774764.0,2414444.0,-34405827.0,0.0
0.0,0.0,0.0,86912.0,49655.0,0.0,0.0,-37539.0,0.0,0.0,-49655.0,-89185.0,3000.0,-64861.0,41596.0,-592743.0,0.0
45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,-6.0,0.0,-98.0,2.0
0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1207222.0,0.0,0.0,0.0,-563085.0,-783864.0,0.0,0.0,-694830.0,45000.0,-943691.0,0.0,0.0,0.0
0.0,0.0,0.0,51981668.0,19280160.0,0.0,0.0,-2252340.0,1449939.0,0.0,-19280160.0,0.0,180000.0,-30130474.0,0.0,-44469120.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-2208531.0,-563085.0,-610068.0,0.0,0.0,0.0,45000.0,-1085370.0,0.0,-824180.0,16820.0
0.0,0.0,0.0,550158.0,0.0,0.0,-365664.0,-563085.0,0.0,0.0,0.0,0.0,45000.0,-1562955.0,0.0,-4131778.0,84322.0
0.0,0.0,0.0,732296222550.0,384409378705.0,0.0,0.0,-424135943112.0,0.0,0.0,-384409378705.0,-1145679672027.0,33895624000.0,0.0,0.0,-4853888283044.0,0.0
0.0,0.0,0.0,0.0,23641530.0,0.0,-153165675.0,-1801872.0,0.0,58909875.0,-23641530.0,-144695412.0,144000.0,0.0,0.0,-384877850.0,7854650.0
0.0,0.0,0.0,0.0,1.1284415003699064e+16,0.0,-4.809533448904298e+16,-2752207189720155.0,0.0,0.0,-1.1284415003699064e+16,-1626698134666978.0,219947829435000.0,-3431662046679152.0,0.0,-9027585572486208.0,0.0
0.0,0.0,0.0,7395970.0,2570688.0,0.0,0.0,-300312.0,0.0,0.0,-2570688.0,0.0,24000.0,-4560908.0,0.0,-5079193.0,103657.0
0.0,0.0,0.0,0.0,304720.0,0.0,0.0,-750780.0,456092.0,0.0,-304720.0,-426608.0,60000.0,-2083940.0,1130668.0,-16112019.0,0.0
0.0,0.0,0.0,-50398.0,0.0,0.0,-132538.0,-37539.0,0.0,0.0,0.0,-34151.0,3000.0,-38207.0,0.0,-466529.0,9521.0
0.0,0.0,0.0,0.0,723482041315.0,0.0,-1455411662450.0,-792280453131.0,0.0,0.0,-723482041315.0,-1732061231051.0,63316587000.0,-750256531375.0,1026162894600.0,-14622821248050.0,0.0
85020.0,0.0,0.0,0.0,321336.0,0.0,-1369567.0,-37539.0,-17004.0,11336.0,-321336.0,-46322.0,3000.0,-45344.0,0.0,0.0,0.0
210.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,-28.0,28.0,-511.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-325338.0,328454.0,712938.0,0.0,-2023824.0,26000.0,0.0,0.0,-10231351.0,0.0
0.0,0.0,0.0,16111420262.0,0.0,0.0,-10950052256.0,-21082440459.0,0.0,0.0,0.0,0.0,1684843000.0,-46803729445.0,0.0,-132727381388.0,0.0
170.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,-20.0,20.0,-397.0,0.0
0.0,0.0,0.0,-98886.0,0.0,0.0,-1368732.0,-563085.0,0.0,0.0,0.0,0.0,45000.0,-1267935.0,0.0,-4613644.0,94156.0
0.0,0.0,0.0,0.0,3856032.0,0.0,0.0,-450468.0,11093955.0,0.0,-3856032.0,0.0,36000.0,-6841362.0,0.0,-98219422.0,2004478.0
0.0,0.0,0.0,3662372.0,964008.0,1449939.0,0.0,-112617.0,0.0,0.0,-964008.0,0.0,9000.0,-2038168.0,0.0,-2223456.0,0.0
680160.0,0.0,0.0,0.0,321336.0,0.0,-1369567.0,-37539.0,0.0,0.0,-321336.0,-46322.0,3000.0,-90688.0,0.0,-1110928.0,22672.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84126675846.0,19995036661.0,0.0,0.0,-100140375384.0,6723142000.0,-54478444332.0,0.0,-962342773439.0,0.0
0.0,0.0,0.0,7738708.0,964008.0,0.0,1449939.0,-112617.0,0.0,2038168.0,-964008.0,0.0,9000.0,-8152672.0,0.0,-2223456.0,0.0
0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
